Node	Type	Mean_counts
Acaryochloris	Bacteria|Cyanobacteria	0.001
Acetobacter	Bacteria|Proteobacteria	0.001
Achromobacter	Bacteria|Proteobacteria	
Acidianus	Archaea|Crenarchaeota	0.001
Acidiphilium	Bacteria|Proteobacteria	0.001
Acidithiobacillus	Bacteria|Proteobacteria	0.001
Acidovorax	Bacteria|Proteobacteria	
Acinetobacter	Bacteria|Proteobacteria	
Actinomyces	Bacteria|Actinobacteria	
Actinosynnema	Bacteria|Actinobacteria	0.001
Aeromicrobium	Bacteria|Actinobacteria	0.001
Aeromonas	Bacteria|Proteobacteria	
Agrobacterium	Bacteria|Proteobacteria	0.001
Agrococcus	Bacteria|Actinobacteria	0.001
Algibacter	Bacteria|Bacteroidetes	0.001
Alteromonas	Bacteria|Proteobacteria	0.001
Alysiella	Bacteria|Proteobacteria	0.001
Aminobacter	Bacteria|Proteobacteria	0.001
Amycolatopsis	Bacteria|Actinobacteria	
Ancylobacter	Bacteria|Proteobacteria	0.001
Anoxybacillus	Bacteria|Firmicutes	
Aquihabitans	Bacteria|Actinobacteria	0.001
Aquirufa	Bacteria|Bacteroidetes	0.001
Aquitalea	Bacteria|Proteobacteria	0.001
Arachidicoccus	Bacteria|Bacteroidetes	0.001
Arcobacter	Bacteria|Proteobacteria	0.001
Arthrobacter	Bacteria|Actinobacteria	
Aurantimicrobium	Bacteria|Actinobacteria	0.001
Avipoxvirus	Viruses|Nucleocytoviricota	0.001
Azospirillum	Bacteria|Proteobacteria	0.001
Azotobacter	Bacteria|Proteobacteria	0.001
Bacillus	Bacteria|Firmicutes	
Basfia	Bacteria|Proteobacteria	0.001
Blattabacterium	Bacteria|Bacteroidetes	
Bordetella	Bacteria|Proteobacteria	
Bradyrhizobium	Bacteria|Proteobacteria	
Brevibacillus	Bacteria|Firmicutes	
Brevundimonas	Bacteria|Proteobacteria	
Brucella	Bacteria|Proteobacteria	0.001
Burkholderia	Bacteria|Proteobacteria	
Buttiauxella	Bacteria|Proteobacteria	0.001
Caenibius	Bacteria|Proteobacteria	0.001
Campylobacter	Bacteria|Proteobacteria	
Candidatus Arthromitus	Bacteria|Firmicutes	
Candidatus Kinetoplastibacterium	Bacteria|Proteobacteria	0.001
Candidatus Nitrosocosmicus	Archaea|Thaumarchaeota	0.001
Candidatus Nitrotoga	Bacteria|Proteobacteria	0.001
Candidatus Ruthia	Bacteria|Proteobacteria	0.001
Capnocytophaga	Bacteria|Bacteroidetes	
Capripoxvirus	Viruses|Nucleocytoviricota	0.001
Carnobacterium	Bacteria|Firmicutes	
Caulobacter	Bacteria|Proteobacteria	
Cellulophaga	Bacteria|Bacteroidetes	
Chitinophaga	Bacteria|Bacteroidetes	
Chromobacterium	Bacteria|Proteobacteria	0.001
Chryseobacterium	Bacteria|Bacteroidetes	
Citrobacter	Bacteria|Proteobacteria	
Clostridioides	Bacteria|Firmicutes	
Clostridium	Bacteria|Firmicutes	
Cobetia	Bacteria|Proteobacteria	0.001
Corynebacterium	Bacteria|Actinobacteria	
Croceicoccus	Bacteria|Proteobacteria	0.001
Cryobacterium	Bacteria|Actinobacteria	0.001
Cryptococcus	Fungi|Basidiomycota	0.001
Cupriavidus	Bacteria|Proteobacteria	
Dehalobacter	Bacteria|Firmicutes	
Deinococcus	Bacteria|Deinococcus-Thermus	0.001
Delftia	Bacteria|Proteobacteria	
Dermacoccus	Bacteria|Actinobacteria	0.001
Dolichospermum	Bacteria|Cyanobacteria	0.001
Ectothiorhodospira	Bacteria|Proteobacteria	0.001
Edwardsiella	Bacteria|Proteobacteria	0.001
Elizabethkingia	Bacteria|Bacteroidetes	
Emaravirus	Viruses|Negarnaviricota	0.001
Enterobacter	Bacteria|Proteobacteria	
Enterococcus	Bacteria|Firmicutes	
Entomomonas	Bacteria|Proteobacteria	0.001
Eremothecium	Fungi|Ascomycota	0.001
Erwinia	Bacteria|Proteobacteria	
Erythrobacter	Bacteria|Proteobacteria	0.001
Exiguobacterium	Bacteria|Firmicutes	
Ferroplasma	Archaea|Candidatus Thermoplasmatota	0.001
Fervidobacterium	Bacteria|Thermotogae	0.001
Flavobacterium	Bacteria|Bacteroidetes	
Francisella	Bacteria|Proteobacteria	
Frankia	Bacteria|Actinobacteria	0.001
